false_alarm_rate,posterior_p_signal_given_trigger
1e-05,0.9047705216240155
1.1689518164985777e-05,0.8904439959998321
1.3664483492953244e-05,0.8742616867966753
1.5973122800602556e-05,0.8560754624392077
1.8671810912919206e-05,0.8357530309342427
2.1826447283974874e-05,0.8131872286409005
2.5514065200312875e-05,0.7883064199372222
2.982471286216888e-05,0.7610854272129132
3.4863652276780875e-05,0.7315561268010685
4.075392965871778e-05,0.6998165892246367
4.7639380104013405e-05,0.6660374778127898
5.568813990945267e-05,0.6304644213949254
6.509675230458164e-05,0.593415304016677
7.609496685459883e-05,0.5552718883912665
8.895134973108236e-05,0.5164658708539895
0.000103979841848149,0.4774602479411446
0.0001215474250076286,0.43872760259186
0.00014208308325339223,0.4007274258251456
0.00016608827826277166,0.3638847532005857
0.00019414919457438816,0.32857217306837144
0.00022695105366946685,0.29509671165264656
0.0002652948464431895,0.2636923524166887
0.00031011689265747787,0.23451817124047045
0.00036251170499885355,0.20766141484750422
0.0004237587160604063,0.18314441369906004
0.000495353520895917,0.16093403115426988
0.0005790443980602483,0.14095237946044
0.0006768750009458535,0.12308771677203913
0.0007912342618981327,0.10720470476965796
0.0009249147277217336,0.09315348952325489
0.0010811807510766078,0.08077732389499351
0.0012638482029342984,0.06991865349734815
0.0014773776525985112,0.06042373262569271
0.0017269832906594343,0.05214592581684399
0.002018760254679039,0.04494789496210611
0.0023598334667821936,0.03870288332041947
0.002758531617629184,0.03329529766769169
0.0032245905452963947,0.02862076744983883
0.0037693909753883596,0.024585832015039277
0.004406236427773573,0.021107378369134133
0.005150678076168122,0.018111925186800708
0.006020894493336131,0.015534825438538196
0.007038135554931555,0.013319440472019385
0.008227241341700466,0.011416322668764375
0.009617248711152965,0.00978243152881764
0.011242100350620862,0.008380398725423814
0.013141473626117567,0.007177850796017515
0.015361749466718281,0.0061467932021732905
0.01795714494371641,0.005263056065763137
0.020991037201085545,0.004505799607326243
0.024537511066398166,0.0038570758802505675
0.02868316813342012,0.0033014425776781544
0.033529241492495566,0.0028256243081404286
0.039194067748472214,0.002418216654642659
0.04581597669054491,0.002069428449082096
0.053556669177068965,0.0017708579356906524
0.06260516572014821,0.0015152988108097787
0.07318242219076174,0.0012965724747260926
0.08554672535565684,0.0011093831892729973
0.1,0.0009491931857920767
