n_trials,empirical_p_signal_given_trigger,analytic_p_signal_given_trigger
100,,0.08676591469540598
105,,0.08676591469540598
110,,0.08676591469540598
116,,0.08676591469540598
122,,0.08676591469540598
128,,0.08676591469540598
134,,0.08676591469540598
141,,0.08676591469540598
148,,0.08676591469540598
156,,0.08676591469540598
164,,0.08676591469540598
172,,0.08676591469540598
181,,0.08676591469540598
190,0.0,0.08676591469540598
200,0.0,0.08676591469540598
210,0.0,0.08676591469540598
221,0.0,0.08676591469540598
233,0.0,0.08676591469540598
244,0.0,0.08676591469540598
257,0.0,0.08676591469540598
270,0.0,0.08676591469540598
284,0.0,0.08676591469540598
298,0.0,0.08676591469540598
314,0.0,0.08676591469540598
330,0.0,0.08676591469540598
347,0.0,0.08676591469540598
364,0.0,0.08676591469540598
383,0.0,0.08676591469540598
402,0.0,0.08676591469540598
423,0.0,0.08676591469540598
445,0.0,0.08676591469540598
467,0.0,0.08676591469540598
491,0.0,0.08676591469540598
516,0.0,0.08676591469540598
543,0.0,0.08676591469540598
570,0.0,0.08676591469540598
599,0.0,0.08676591469540598
630,0.0,0.08676591469540598
662,0.0,0.08676591469540598
696,0.0,0.08676591469540598
732,0.0,0.08676591469540598
769,0.0,0.08676591469540598
808,0.0,0.08676591469540598
849,0.0,0.08676591469540598
893,0.0,0.08676591469540598
938,0.0,0.08676591469540598
986,0.0,0.08676591469540598
1037,0.0,0.08676591469540598
1090,0.0,0.08676591469540598
1145,0.0,0.08676591469540598
1204,0.0,0.08676591469540598
1265,0.0,0.08676591469540598
1330,0.0,0.08676591469540598
1397,0.0,0.08676591469540598
1469,0.0,0.08676591469540598
1544,0.0,0.08676591469540598
1623,0.0,0.08676591469540598
1705,0.0,0.08676591469540598
1792,0.0,0.08676591469540598
1884,0.0,0.08676591469540598
1980,0.0,0.08676591469540598
2081,0.0,0.08676591469540598
2187,0.0,0.08676591469540598
2299,0.0,0.08676591469540598
2416,0.0,0.08676591469540598
2540,0.0,0.08676591469540598
2669,0.0,0.08676591469540598
2805,0.0,0.08676591469540598
2949,0.0,0.08676591469540598
3099,0.0,0.08676591469540598
3257,0.0,0.08676591469540598
3424,0.0,0.08676591469540598
3598,0.0,0.08676591469540598
3782,0.0,0.08676591469540598
3975,0.0,0.08676591469540598
4178,0.0,0.08676591469540598
4391,0.0,0.08676591469540598
4615,0.0,0.08676591469540598
4850,0.0,0.08676591469540598
5098,0.0,0.08676591469540598
5358,0.0,0.08676591469540598
