prior_p_signal,posterior_p_signal_given_trigger
1e-06,0.000949099304759783
1.215474250076286e-06,0.0011533701423407992
1.4773776525985097e-06,0.0014015437616170924
1.7957144943716409e-06,0.0017030265857544606
2.1826447283974873e-06,0.00206922644148864
2.6529484644318946e-06,0.0025139717450411796
3.224590545296398e-06,0.0030540153145175216
3.919406774847221e-06,0.003709638373003816
4.763938010401341e-06,0.004505372424001585
5.790443980602483e-06,0.0054708586945165835
7.038135554931547e-06,0.006641866484717289
8.554672535565685e-06,0.008061492614227396
1.03979841848149e-05,0.009781563567998766
1.2638482029342971e-05,0.011864258961605662
1.5361749466718298e-05,0.014383968186461217
1.8671810912919206e-05,0.017429379628636384
2.2695105366946683e-05,0.021105781067602625
2.7585316176291814e-05,0.025537517361726277
3.352924149249553e-05,0.03087050315491387
4.075392965871778e-05,0.03727461940651796
4.95353520895917e-05,0.04494572852458061
6.020894493336126e-05,0.05410692082184697
7.318242219076182e-05,0.06500845609180719
8.895134973108236e-05,0.07792569765465172
0.00010811807510766077,0.09315417537872789
0.00013141473626117553,0.11100080246732634
0.0001597312280060254,0.13177027759220566
0.00019414919457438816,0.15574592431553363
0.00023598334667821938,0.18316476144774876
0.0002868316813342009,0.21418754741361504
0.0003486365227678084,0.248865904103015
0.0004237587160604063,0.2871102488345734
0.0005150678076168122,0.32866377690442344
0.0006260516572014815,0.3730885671169599
0.0007609496685459876,0.4197693953537628
0.0009249147277217336,0.4679386303393004
0.0011242100350620863,0.51672179801212
0.0013664483492953244,0.5651988992173235
0.0016608827826277148,0.6124727367645649
0.002018760254679039,0.6577337101035522
0.002453751106639817,0.7003114486915628
0.002982471286216888,0.7397069304154619
0.0036251170499885317,0.7756031740430623
0.004406236427773573,0.8078567530813433
0.005355666917706897,0.8364751714035882
0.006509675230458164,0.8615861843247378
0.007912342618981319,0.8834046957634968
0.009617248711152965,0.9022015068518284
0.011689518164985776,0.9182765521522566
0.014208308325339208,0.9319377824877639
0.017269832906594326,0.9434857593666115
0.020991037201085545,0.9532033541569008
0.025514065200312873,0.9613496285851072
0.031011689265747752,0.9681569061543852
0.037693909753883634,0.9738301250283304
0.04581597669054491,0.9785477132990764
0.05568813990945267,0.9824633955781944
0.06768750009458528,0.985708496265966
0.08227241341700457,0.9883944363924791
0.1,0.9906152241918665
